GEO_ID,NAME,S1401_C02_002E
24001,"Allegany County, Maryland",4.8
24003,"Anne Arundel County, Maryland",7.3
24005,"Baltimore County, Maryland",6.3
24009,"Calvert County, Maryland",5.8
24011,"Caroline County, Maryland",7
24013,"Carroll County, Maryland",7
24015,"Cecil County, Maryland",6
24017,"Charles County, Maryland",5.3
24019,"Dorchester County, Maryland",5.8
24021,"Frederick County, Maryland",6.3
24023,"Garrett County, Maryland",5.6
24025,"Harford County, Maryland",6.5
24027,"Howard County, Maryland",6.8
24029,"Kent County, Maryland",4.5
24031,"Montgomery County, Maryland",7.3
24033,"Prince George's County, Maryland",5.3
24035,"Queen Anne's County, Maryland",6.2
24037,"St. Mary's County, Maryland",5.5
24039,"Somerset County, Maryland",2.6
24041,"Talbot County, Maryland",8.4
24043,"Washington County, Maryland",6.3
24045,"Wicomico County, Maryland",4.4
24047,"Worcester County, Maryland",6.4
24510,"Baltimore city, Maryland",6.9
