STATE_FP,STATE_NAME,,NUM_TEACHERS,TOTAL_US
1,Alabama,,45000,3385200
2,Alaska,,7500,3385200
4,Arizona,,61700,3385200
5,Arkansas,,37700,3385200
6,California,,285500,3385200
8,Colorado,,55900,3385200
9,Connecticut,,44900,3385200
10,Delaware,,9300,3385200
11,District of Columbia,,,3385200
12,Florida,,,3385200
13,Georgia,,123300,3385200
15,Hawaii,,,3385200
16,Idaho,,16300,3385200
17,Illinois,,140900,3385200
18,Indiana,,64000,3385200
19,Iowa,,36100,3385200
20,Kansas,,36500,3385200
21,Kentucky,,46800,3385200
22,Louisiana,,44500,3385200
23,Maine,,18400,3385200
24,Maryland,,,3385200
25,Massachusetts,,79200,3385200
26,Michigan,,96700,3385200
27,Minnesota,,62300,3385200
28,Mississippi,,37600,3385200
29,Missouri,,68700,3385200
30,Montana,,12400,3385200
31,Nebraska,,23900,3385200
32,Nevada,,25200,3385200
33,New Hampshire,,15700,3385200
34,New Jersey,,125200,3385200
35,New Mexico,,21700,3385200
36,New York,,241400,3385200
37,North Carolina,,104300,3385200
39,North Dakota,,10300,3385200
39,Ohio,,122100,3385200
40,Oklahoma,,46200,3385200
41,Oregon,,31800,3385200
42,Pennsylvania,,148800,3385200
44,Rhode Island,,,3385200
45,South Carolina,,51800,3385200
46,South Dakota,,10800,3385200
47,Tennessee,,76500,3385200
48,Texas,,350800,3385200
49,Utah,,27900,3385200
50,Vermont,,9400,3385200
51,Virginia,,88500,3385200
53,Washington,,55500,3385200
54,West Virginia,,24200,3385200
55,Wisconsin,,66800,3385200
56,Wyoming,,8500,3385200
